
root@Zybo-Z7-20:~# stty -echo
root@Zybo-Z7-20:~# __S06_FETCH_STTY__=0
root@Zybo-Z7-20:~# __CSV_BEGIN__
call_id,layer,role,tensor,backend,in_features,out_features,chunks,hw_jobs,fallback,input_saturations
79,11,k_proj,blk.11.attn_k.weight,fpga,576,192,1,12,0,0
80,11,v_proj,blk.11.attn_v.weight,fpga,576,192,1,12,0,0
81,11,o_proj,blk.11.attn_output.weight,fpga,576,576,1,36,0,15
82,11,gate_proj,blk.11.ffn_gate.weight,fpga,576,1536,1,96,0,0
83,11,up_proj,blk.11.ffn_up.weight,fpga,576,1536,1,96,0,0
84,11,down_proj,blk.11.ffn_down.weight,fpga,1536,576,3,108,0,67
85,12,q_proj,blk.12.attn_q.weight,fpga,576,576,1,36,0,0
86,12,k_proj,blk.12.attn_k.weight,fpga,576,192,1,12,0,0
87,12,v_proj,blk.12.attn_v.weight,fpga,576,192,1,12,0,0
88,12,o_proj,blk.12.attn_output.weight,fpga,576,576,1,36,0,15
89,12,gate_proj,blk.12.ffn_gate.weight,fpga,576,1536,1,96,0,0
90,12,up_proj,blk.12.ffn_up.weight,fpga,576,1536,1,96,0,0
91,12,down_proj,blk.12.ffn_down.weight,fpga,1536,576,3,108,0,70
92,13,q_proj,blk.13.attn_q.weight,fpga,576,576,1,36,0,0
93,13,k_proj,blk.13.attn_k.weight,fpga,576,192,1,12,0,0
94,13,v_proj,blk.13.attn_v.weight,fpga,576,192,1,12,0,0
95,13,o_proj,blk.13.attn_output.weight,fpga,576,576,1,36,0,12
96,13,gate_proj,blk.13.ffn_gate.weight,fpga,576,1536,1,96,0,0
97,13,up_proj,blk.13.ffn_up.weight,fpga,576,1536,1,96,0,0
98,13,down_proj,blk.13.ffn_down.weight,fpga,1536,576,3,108,0,60
99,14,q_proj,blk.14.attn_q.weight,fpga,576,576,1,36,0,0
100,14,k_proj,blk.14.attn_k.weight,fpga,576,192,1,12,0,0
101,14,v_proj,blk.14.attn_v.weight,fpga,576,192,1,12,0,0
102,14,o_proj,blk.14.attn_output.weight,fpga,576,576,1,36,0,12
103,14,gate_proj,blk.14.ffn_gate.weight,fpga,576,1536,1,96,0,0
