case,pattern,in_features,out_features,chunk_count,chunk_in_features,full_packet_bytes,chunk_packet_bytes,max_abs_diff,mismatch_count,result
F_1536x16_P0,P0,1536,16,3,512,27648,9216,0,0,PASS
F_1536x16_P6,P6,1536,16,3,512,27648,9216,0,0,PASS
