layer,role,tensor_name,dtype,in_features,out_features,chunk_policy,gguf_offset,gguf_nbytes,dispatch
9,down_proj,blk.9.ffn_down.weight,Q8_0,1536,576,512+512+512,141046336,940032,gemv_backend_run
9,gate_proj,blk.9.ffn_gate.weight,Q8_0,576,1536,none,141986368,940032,gemv_backend_run
9,k_proj,blk.9.attn_k.weight,Q8_0,576,192,none,143868736,117504,gemv_backend_run
9,o_proj,blk.9.attn_output.weight,Q8_0,576,576,none,143986240,352512,gemv_backend_run
9,q_proj,blk.9.attn_q.weight,Q8_0,576,576,none,144338752,352512,gemv_backend_run
9,up_proj,blk.9.ffn_up.weight,Q8_0,576,1536,none,142926400,940032,gemv_backend_run
9,v_proj,blk.9.attn_v.weight,Q8_0,576,192,none,144691264,117504,gemv_backend_run
10,down_proj,blk.10.ffn_down.weight,Q8_0,1536,576,512+512+512,39398464,940032,gemv_backend_run
10,gate_proj,blk.10.ffn_gate.weight,Q8_0,576,1536,none,40338496,940032,gemv_backend_run
10,k_proj,blk.10.attn_k.weight,Q8_0,576,192,none,42220864,117504,gemv_backend_run
10,o_proj,blk.10.attn_output.weight,Q8_0,576,576,none,42338368,352512,gemv_backend_run
10,q_proj,blk.10.attn_q.weight,Q8_0,576,576,none,42690880,352512,gemv_backend_run
10,up_proj,blk.10.ffn_up.weight,Q8_0,576,1536,none,41278528,940032,gemv_backend_run
10,v_proj,blk.10.attn_v.weight,Q8_0,576,192,none,43043392,117504,gemv_backend_run
11,down_proj,blk.11.ffn_down.weight,Q8_0,1536,576,512+512+512,43163200,940032,gemv_backend_run
11,gate_proj,blk.11.ffn_gate.weight,Q8_0,576,1536,none,44103232,940032,gemv_backend_run
11,k_proj,blk.11.attn_k.weight,Q8_0,576,192,none,45985600,117504,gemv_backend_run
11,o_proj,blk.11.attn_output.weight,Q8_0,576,576,none,46103104,352512,gemv_backend_run
11,q_proj,blk.11.attn_q.weight,Q8_0,576,576,none,46455616,352512,gemv_backend_run
11,up_proj,blk.11.ffn_up.weight,Q8_0,576,1536,none,45043264,940032,gemv_backend_run
11,v_proj,blk.11.attn_v.weight,Q8_0,576,192,none,46808128,117504,gemv_backend_run
12,down_proj,blk.12.ffn_down.weight,Q8_0,1536,576,512+512+512,46927936,940032,gemv_backend_run
12,gate_proj,blk.12.ffn_gate.weight,Q8_0,576,1536,none,47867968,940032,gemv_backend_run
12,k_proj,blk.12.attn_k.weight,Q8_0,576,192,none,49750336,117504,gemv_backend_run
12,o_proj,blk.12.attn_output.weight,Q8_0,576,576,none,49867840,352512,gemv_backend_run
12,q_proj,blk.12.attn_q.weight,Q8_0,576,576,none,50220352,352512,gemv_backend_run
12,up_proj,blk.12.ffn_up.weight,Q8_0,576,1536,none,48808000,940032,gemv_backend_run
12,v_proj,blk.12.attn_v.weight,Q8_0,576,192,none,50572864,117504,gemv_backend_run
13,down_proj,blk.13.ffn_down.weight,Q8_0,1536,576,512+512+512,50692672,940032,gemv_backend_run
13,gate_proj,blk.13.ffn_gate.weight,Q8_0,576,1536,none,51632704,940032,gemv_backend_run
13,k_proj,blk.13.attn_k.weight,Q8_0,576,192,none,53515072,117504,gemv_backend_run
13,o_proj,blk.13.attn_output.weight,Q8_0,576,576,none,53632576,352512,gemv_backend_run
13,q_proj,blk.13.attn_q.weight,Q8_0,576,576,none,53985088,352512,gemv_backend_run
