tensor_name,target,in_features,out_features,row_groups,original_rowgroup_packet_bytes,chunk_count,chunk_in_features,chunk_packet_bytes,dma_limit_ok,cpu_accumulation_required
blk.11.attn_v.weight,v_proj,576,192,12,10368,1,576,10368,true,false
blk.11.attn_output.weight,o_proj,576,576,36,10368,1,576,10368,true,false
blk.11.ffn_gate.weight,gate_proj,576,1536,96,10368,1,576,10368,true,false
blk.11.ffn_up.weight,up_proj,576,1536,96,10368,1,576,10368,true,false
blk.11.ffn_down.weight,down_proj,1536,576,36,27648,3,512,9216,true,true
blk.12.attn_q.weight,q_proj,576,576,36,10368,1,576,10368,true,false
blk.12.attn_k.weight,k_proj,576,192,12,10368,1,576,10368,true,false
blk.12.attn_v.weight,v_proj,576,192,12,10368,1,576,10368,true,false
blk.12.attn_output.weight,o_proj,576,576,36,10368,1,576,10368,true,false
blk.12.ffn_gate.weight,gate_proj,576,1536,96,10368,1,576,10368,true,false
blk.12.ffn_up.weight,up_proj,576,1536,96,10368,1,576,10368,true,false
blk.12.ffn_down.weight,down_proj,1536,576,36,27648,3,512,9216,true,true
blk.13.attn_q.weight,q_proj,576,576,36,10368,1,576,10368,true,false
blk.13.attn_k.weight,k_proj,576,192,12,10368,1,576,10368,true,false
blk.13.attn_v.weight,v_proj,576,192,12,10368,1,576,10368,true,false
blk.13.attn_output.weight,o_proj,576,576,36,10368,1,576,10368,true,false
blk.13.ffn_gate.weight,gate_proj,576,1536,96,10368,1,576,10368,true,false
blk.13.ffn_up.weight,up_proj,576,1536,96,10368,1,576,10368,true,false
blk.13.ffn_down.weight,down_proj,1536,576,36,27648,3,512,9216,true,true
blk.14.attn_q.weight,q_proj,576,576,36,10368,1,576,10368,true,false
blk.14.attn_k.weight,k_proj,576,192,12,10368,1,576,10368,true,false
blk.14.attn_v.weight,v_proj,576,192,12,10368,1,576,10368,true,false
blk.14.attn_output.weight,o_proj,576,576,36,10368,1,576,10368,true,false
blk.14.ffn_gate.weight,gate_proj,576,1536,96,10368,1,576,10368,true,false
blk.14.ffn_up.weight,up_proj,576,1536,96,10368,1,576,10368,true,false
blk.14.ffn_down.weight,down_proj,1536,576,36,27648,3,512,9216,true,true
blk.15.attn_q.weight,q_proj,576,576,36,10368,1,576,10368,true,false
blk.15.attn_k.weight,k_proj,576,192,12,10368,1,576,10368,true,false
blk.15.attn_v.weight,v_proj,576,192,12,10368,1,576,10368,true,false
blk.15.attn_output.weight,o_proj,576,576,36,10368,1,576,10368,true,false
blk.15.ffn_gate.weight,gate_proj,576,1536,96,10368,1,576,10368,true,false
blk.15.ffn_up.weight,up_proj,576,1536,96,10368,1,576,10368,true,false
blk.15.ffn_down.weight,down_proj,1536,576,36,27648,3,512,9216,true,true
blk.16.attn_q.weight,q_proj,576,576,36,10368,1,576,10368,true,false
blk.16.attn_k.weight,k_proj,576,192,12,10368,1,576,10368,true,false
blk.16.attn_v.weight,v_proj,576,192,12,10368,1,576,10368,true,false
blk.16.attn_output.weight,o_proj,576,576,36,10368,1,576,10368,true,false
blk.16.ffn_gate.weight,gate_proj,576,1536,96,10368,1,576,10368,true,false
blk.16.ffn_up.weight,up_proj,576,1536,96,10368,1,576,10368,true,false
blk.16.ffn_down.weight,down_proj,1536,576,36,27648,3,512,9216,true,true
blk.17.attn_q.weight,q_proj,576,576,36,10368,1,576,10368,true,false
blk.17.attn_k.weight,k_proj,576,192,12,10368,1,576,10368,true,false
blk.17.attn_v.weight,v_proj,576,192,12,10368,1,576,10368,true,false
blk.17.attn_output.weight,o_proj,576,576,36,10368,1,576,10368,true,false
blk.17.ffn_gate.weight,gate_proj,576,1536,96,10368,1,576,10368,true,false
blk.17.ffn_up.weight,up_proj,576,1536,96,10368,1,576,10368,true,false
blk.17.ffn_down.weight,down_proj,1536,576,36,27648,3,512,9216,true,true
blk.18.attn_q.weight,q_proj,576,576,36,10368,1,576,10368,true,false
