row_group,lane,row,fixture_case,identity_expected_i32,board_mixed_i32,board_duplicate_same_lane_i32,board_duplicate_lane0_i32,mixed_vs_cpu,duplicate_same_lane_vs_cpu,mixed_vs_duplicate,duplicate_good_lanes,packet_equivalence,mode1_blockacc,onehot_mode0,simulation_status,fixture_dir
12,3,195,qproj_rg12,-6,2147483647,-6,2147483647,0,1,0,15,PASS,PASS,PASS,PREPARED_NOT_SIMULATED,/run/media/pjs/6A43-DC8A/smollm2-zybo/golden/s06_5_2_real_qproj_wrapper_tb/qproj_rg12
13,6,214,qproj_rg13,-9,-9,-9,2147483647,1,1,1,15,PASS,PASS,PASS,PREPARED_NOT_SIMULATED,/run/media/pjs/6A43-DC8A/smollm2-zybo/golden/s06_5_2_real_qproj_wrapper_tb/qproj_rg13
14,6,230,qproj_rg14,6,2147483647,6,2147483647,0,1,0,15,PASS,PASS,PASS,PREPARED_NOT_SIMULATED,/run/media/pjs/6A43-DC8A/smollm2-zybo/golden/s06_5_2_real_qproj_wrapper_tb/qproj_rg14
14,8,232,qproj_rg14,3,2147483647,3,2147483647,0,1,0,15,PASS,PASS,PASS,PREPARED_NOT_SIMULATED,/run/media/pjs/6A43-DC8A/smollm2-zybo/golden/s06_5_2_real_qproj_wrapper_tb/qproj_rg14
15,15,255,qproj_rg15,-7,2147483647,-7,2147483647,0,1,0,15,PASS,PASS,PASS,PREPARED_NOT_SIMULATED,/run/media/pjs/6A43-DC8A/smollm2-zybo/golden/s06_5_2_real_qproj_wrapper_tb/qproj_rg15
17,4,276,qproj_rg17,9,9,9,9,1,1,1,16,PASS,PASS,PASS,PREPARED_NOT_SIMULATED,/run/media/pjs/6A43-DC8A/smollm2-zybo/golden/s06_5_2_real_qproj_wrapper_tb/qproj_rg17
17,10,282,qproj_rg17,11,2147483647,11,11,0,1,0,16,PASS,PASS,PASS,PREPARED_NOT_SIMULATED,/run/media/pjs/6A43-DC8A/smollm2-zybo/golden/s06_5_2_real_qproj_wrapper_tb/qproj_rg17
18,9,297,qproj_rg18,-1,2147483647,-1,-1,0,1,0,16,PASS,PASS,PASS,PREPARED_NOT_SIMULATED,/run/media/pjs/6A43-DC8A/smollm2-zybo/golden/s06_5_2_real_qproj_wrapper_tb/qproj_rg18
18,12,300,qproj_rg18,-4,2147483647,-4,-4,0,1,0,16,PASS,PASS,PASS,PREPARED_NOT_SIMULATED,/run/media/pjs/6A43-DC8A/smollm2-zybo/golden/s06_5_2_real_qproj_wrapper_tb/qproj_rg18
20,12,332,qproj_rg20,-3,2147483647,-3,2147483647,0,1,0,15,PASS,PASS,PASS,PREPARED_NOT_SIMULATED,/run/media/pjs/6A43-DC8A/smollm2-zybo/golden/s06_5_2_real_qproj_wrapper_tb/qproj_rg20
21,1,337,qproj_rg21,8,2147483647,8,2147483647,0,1,0,15,PASS,PASS,PASS,PREPARED_NOT_SIMULATED,/run/media/pjs/6A43-DC8A/smollm2-zybo/golden/s06_5_2_real_qproj_wrapper_tb/qproj_rg21
21,8,344,qproj_rg21,-3,2147483647,-3,2147483647,0,1,0,15,PASS,PASS,PASS,PREPARED_NOT_SIMULATED,/run/media/pjs/6A43-DC8A/smollm2-zybo/golden/s06_5_2_real_qproj_wrapper_tb/qproj_rg21
22,4,356,qproj_rg22,2,2147483647,2,2147483647,0,1,0,15,PASS,PASS,PASS,PREPARED_NOT_SIMULATED,/run/media/pjs/6A43-DC8A/smollm2-zybo/golden/s06_5_2_real_qproj_wrapper_tb/qproj_rg22
22,11,363,qproj_rg22,11,2147483647,11,2147483647,0,1,0,15,PASS,PASS,PASS,PREPARED_NOT_SIMULATED,/run/media/pjs/6A43-DC8A/smollm2-zybo/golden/s06_5_2_real_qproj_wrapper_tb/qproj_rg22
23,13,381,qproj_rg23,-13,2147483647,-13,2147483647,0,1,0,15,PASS,PASS,PASS,PREPARED_NOT_SIMULATED,/run/media/pjs/6A43-DC8A/smollm2-zybo/golden/s06_5_2_real_qproj_wrapper_tb/qproj_rg23
24,1,385,qproj_rg24,-2,2147483647,-2,-2,0,1,0,16,PASS,PASS,PASS,PREPARED_NOT_SIMULATED,/run/media/pjs/6A43-DC8A/smollm2-zybo/golden/s06_5_2_real_qproj_wrapper_tb/qproj_rg24
25,2,402,qproj_rg25,6,2147483647,6,6,0,1,0,16,PASS,PASS,PASS,PREPARED_NOT_SIMULATED,/run/media/pjs/6A43-DC8A/smollm2-zybo/golden/s06_5_2_real_qproj_wrapper_tb/qproj_rg25
25,11,411,qproj_rg25,-15,2147483647,-15,2147483647,0,1,0,15,PASS,PASS,PASS,PREPARED_NOT_SIMULATED,/run/media/pjs/6A43-DC8A/smollm2-zybo/golden/s06_5_2_real_qproj_wrapper_tb/qproj_rg25
